property_id,url,source,scrape_date,posting_date,html_path,property_type,category,transaction_type,new_construction,price,price_per_sqm,vat,cadastral_income,street,house_number,postal_code,locality,province,region,latitude,longitude,bedrooms,bedroom_surfaces,livable_surface,living_room_surface,kitchen_surface,kitchen_equipment,bathrooms,showers,toilets,build_year,currently_leased,furnished,heating_type,glazing_type,heat_pump,solar_panels,air_conditioning,primary_energy_consumption,epc,electrical_certificate,facades,facade_orientation,garden,garden_surface,garden_orientation,terrace,terrace_surface,balcony,garage,garages,indoor_parking,outdoor_parking,cellar,swimming_pool,elevator,running_water,flooding_area_type,demarcated_flooding_area,flood_g_score,flood_p_score,availability,building_state,land_surface,ground_depth,terrain_width,number_of_floors,apartment_floor,maintenance_cost,co_ownership_charges,nearest_city,nearest_city_distance_km
rbv81077,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbv81077,ImmoVlan,2026-06-15,2026-05-01,/Volumes/nstephane/Dev/AI_Data_Science_training/immo-eliza-scraping/data/html/rbv81077.html,flat,apartment,for-rent,0,2150,33.59,,,Quai à la Houille,,1000,Brussels,Brussels,Brussels,50.854353,4.3472459,,,64,,,,,,,,0,,,,,,,,,,,,0,,,1,,0,,,,,,,,,,,,,,,,,,,1,,,Brussels,0.87
rbv82223,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbv82223,ImmoVlan,2026-06-15,2026-05-04,/Volumes/nstephane/Dev/AI_Data_Science_training/immo-eliza-scraping/data/html/rbv82223.html,flat,apartment,for-rent,0,1650,50.0,,,Quai à la Houille,,1000,Brussels,Brussels,Brussels,50.854353,4.3472459,,,33,,,,,,,,0,,,,,,,,,,,,0,,,0,,0,,,,,,,,,,,,,,,,,,,2,,,Brussels,0.87
rbv82975,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbv82975,ImmoVlan,2026-06-15,2026-05-05,/Volumes/nstephane/Dev/AI_Data_Science_training/immo-eliza-scraping/data/html/rbv82975.html,flat,apartment,for-rent,0,1797,37.44,,,Boulevard du Régent,,1000,Brussels,Brussels,Brussels,50.8393123,4.3626349,,,48,,,,,,,,0,,,,,,,,,,,,0,,,1,,1,,,,,,,,,,,,,,,,,,,5,,,Brussels,1.21
rbv86845,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbv86845,ImmoVlan,2026-06-15,2026-05-09,/Volumes/nstephane/Dev/AI_Data_Science_training/immo-eliza-scraping/data/html/rbv86845.html,flat,apartment,for-rent,0,2700,16.17,,,,,1000,Brussels,Brussels,Brussels,50.8427501,4.3515499,2,18;15,167,,,,,3,3,1960,0,,,Double glass,,0,0,150,C,0,,,0,,,1,17,,,,2,,,,1,1,,,,,Immediately,Normal,,,,9,3,300,,Brussels,0.45
rbv88506,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbv88506,ImmoVlan,2026-06-15,2026-05-12,/Volumes/nstephane/Dev/AI_Data_Science_training/immo-eliza-scraping/data/html/rbv88506.html,flat,apartment,for-rent,0,1250,28.41,,,,,1000,Brussels,Brussels,Brussels,50.8427501,4.3515499,1,,44,,,,1,,,,0,1,,Double glass,,0,0,203,D,0,,,0,,,0,,,,,,,,,,1,,,,,From 30/04/2026,Normal,,,,3,1,250,,Brussels,0.45
rbv88627,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbv88627,ImmoVlan,2026-06-15,2026-05-13,/Volumes/nstephane/Dev/AI_Data_Science_training/immo-eliza-scraping/data/html/rbv88627.html,flat,apartment,for-rent,0,1595,15.95,,,Square Ambiorix,32,1000,Brussels,Brussels,Brussels,50.8461,4.3834,2,,100,37,,,1,1,2,,0,0,Gas,,,,,166,D,1,,,0,,,1,6,,,,,,,,1,,,,,,Immediately,Normal,,,,,1,250,,Brussels,2.35
rbv88778,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbv88778,ImmoVlan,2026-06-15,2026-05-13,/Volumes/nstephane/Dev/AI_Data_Science_training/immo-eliza-scraping/data/html/rbv88778.html,flat,apartment,for-rent,0,1450,16.11,,,Square Marguerite,1,1000,Brussels,Brussels,Brussels,50.8474,4.38542,2,,90,33,,,2,,2,,0,0,Gas,,,,,167,D,0,2,,0,,,1,3,,1,1,,,,,1,,,,,,From 01/08/2026,Normal,,,,,7,200,,Brussels,2.49
rbv89542,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbv89542,ImmoVlan,2026-06-15,2026-05-15,/Volumes/nstephane/Dev/AI_Data_Science_training/immo-eliza-scraping/data/html/rbv89542.html,flat,apartment,for-rent,0,1920,15.87,,,Akenkaai,36 203,1000,Brussels,Brussels,Brussels,50.8621672,4.3505289,3,12;14;11,121,46,,Super equipped,1,1,2,2018,0,0,Gas,Double glass,,,,63,B,1,2,,0,,,1,28,1,1,,,,,0,1,1,,,,,Immediately,Excellent,,,,7,2,,,Brussels,1.72
rbv89934,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbv89934,ImmoVlan,2026-06-15,2026-05-15,/Volumes/nstephane/Dev/AI_Data_Science_training/immo-eliza-scraping/data/html/rbv89934.html,flat,apartment,for-rent,0,1000,22.22,,,IMPASSE DE LA POUPÉE,4,1000,Brussels,Brussels,Brussels,50.84565,4.35315,1,15,45,,6,,1,,,1850,0,,,Double glass,,0,0,187,D,1,1,,0,,,0,,,,,,,,,,1,,,,,,Excellent,,,,4,2,100,,Brussels,0.26
rbv92719,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbv92719,ImmoVlan,2026-06-15,2026-05-18,/Volumes/nstephane/Dev/AI_Data_Science_training/immo-eliza-scraping/data/html/rbv92719.html,flat,apartment,for-rent,0,2200,31.43,,,Quai à la Houille,,1000,Brussels,Brussels,Brussels,50.854353,4.3472459,,,70,,,,,,,,0,,,,,,,,,,,,0,,,1,,1,,,,,,,,,,,,,,,,,,,1,,,Brussels,0.87
rbv96642,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbv96642,ImmoVlan,2026-06-15,2026-05-22,/Volumes/nstephane/Dev/AI_Data_Science_training/immo-eliza-scraping/data/html/rbv96642.html,flat,apartment,for-rent,0,1950,19.12,,,rue Boduognat 9 D 2.,1,1000,Brussels,Brussels,Brussels,50.8460203,4.3804519,2,,102,,,,2,,2,2017,0,1,Gas,,,,,98,C,1,2,,0,,,1,15,,1,,,,,,0,,,,,,Immediately,Normal,,,,,2,100,,Brussels,2.15
rbv92763,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbv92763,ImmoVlan,2026-06-15,2026-05-18,/Volumes/nstephane/Dev/AI_Data_Science_training/immo-eliza-scraping/data/html/rbv92763.html,flat,apartment,for-rent,0,2250,16.07,,,Rue Potagère,150,1000,Brussels,Brussels,Brussels,50.855841,4.3738632,3,,140,,,Super equipped,1,,1,,,1,Gas,Double glass,,,,206,D,0,2,,0,,,1,3,,,,,,,0,0,1,,,,,,Excellent,,,,4,1,,,Brussels,1.97
rbw02203,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbw02203,ImmoVlan,2026-06-15,2026-05-27,/Volumes/nstephane/Dev/AI_Data_Science_training/immo-eliza-scraping/data/html/rbw02203.html,flat,apartment,for-rent,0,1650,55.0,,,Boulevard Anspach,,1000,Brussels,Brussels,Brussels,50.8462619,4.3471153,,,30,,,,,,,,0,,,,,,,,,,,,0,,,0,,0,,,,,,,,,,,,,,,,,,,1,,,Brussels,0.2
rbw02206,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbw02206,ImmoVlan,2026-06-15,2026-05-27,/Volumes/nstephane/Dev/AI_Data_Science_training/immo-eliza-scraping/data/html/rbw02206.html,flat,apartment,for-rent,0,1650,55.0,,,Boulevard Anspach,,1000,Brussels,Brussels,Brussels,50.8462619,4.3471153,,,30,,,,,,,,0,,,,,,,,,,,,0,,,0,,0,,,,,,,,,,,,,,,,,,,4,,,Brussels,0.2
rbw02207,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbw02207,ImmoVlan,2026-06-15,2026-05-27,/Volumes/nstephane/Dev/AI_Data_Science_training/immo-eliza-scraping/data/html/rbw02207.html,flat,apartment,for-rent,0,2200,48.89,,,Boulevard Anspach,,1000,Brussels,Brussels,Brussels,50.8462619,4.3471153,,,45,,,,,,,,0,,,,,,,,,,,,0,,,0,,0,,,,,,,,,,,,,,,,,,,1,,,Brussels,0.2
rbw02334,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbw02334,ImmoVlan,2026-06-15,2026-05-27,/Volumes/nstephane/Dev/AI_Data_Science_training/immo-eliza-scraping/data/html/rbw02334.html,flat,apartment,for-rent,0,950,27.14,,,Rue de l'Eclipse,9,1000,Brussels,Brussels,Brussels,50.8465163,4.3467651,1,,35,,,,1,1,1,,0,1,Gas,Double glass,,,,224,E,,2,,,,,,,,,,,,,,,,,,,,Immediately,Excellent,,,,3,0,,,Brussels,0.22
rbw02212,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbw02212,ImmoVlan,2026-06-15,2026-05-27,/Volumes/nstephane/Dev/AI_Data_Science_training/immo-eliza-scraping/data/html/rbw02212.html,flat,apartment,for-rent,0,1450,48.33,,,Rue de la Caserne,,1000,Brussels,Brussels,Brussels,50.8429687,4.3432299,,,30,,,,,,,,0,,,,,,,,,,,,0,,,0,,1,,,,,,,,,,,,,,,,,,,3,,,Brussels,0.63
